Tournament,Stage,Match Type,Match Name,Team,Action,Map
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),FunPlus Phoenix vs Nova Esports,FunPlus Phoenix,ban,Ascent
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),FunPlus Phoenix vs Nova Esports,Nova Esports,pick,Sunset
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),FunPlus Phoenix vs Nova Esports,FunPlus Phoenix,pick,Lotus
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),FunPlus Phoenix vs Nova Esports,Nova Esports,ban,Icebox
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),FunPlus Phoenix vs Nova Esports,FunPlus Phoenix,ban,Split
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),JD Gaming vs Titan Esports Club,JD Gaming,ban,Breeze
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),JD Gaming vs Titan Esports Club,Titan Esports Club,ban,Sunset
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),JD Gaming vs Titan Esports Club,JD Gaming,pick,Lotus
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),JD Gaming vs Titan Esports Club,Titan Esports Club,pick,Bind
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),JD Gaming vs Titan Esports Club,JD Gaming,ban,Ascent
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),JD Gaming vs Titan Esports Club,Titan Esports Club,ban,Icebox
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),Dragon Ranger Gaming vs All Gamers,All Gamers,ban,Lotus
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),Dragon Ranger Gaming vs All Gamers,Dragon Ranger Gaming,ban,Breeze
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),Dragon Ranger Gaming vs All Gamers,All Gamers,pick,Sunset
