Tournament,Stage,Match Type,Match Name,Map,Team A,Team A Score,Team A Attacker Score,Team A Defender Score,Team A Overtime Score,Team B,Team B Score,Team B Attacker Score,Team B Defender Score,Team B Overtime Score,Duration
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,LOUD vs Sentinels,Bind,LOUD,13,9,4,,Sentinels,8,5,3,,51:03
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,LOUD vs Sentinels,Lotus,LOUD,4,2,2,,Sentinels,13,3,10,,44:02
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),Trace Esports vs TYLOO,Ascent,Trace Esports,13,8,5,,TYLOO,4,0,4,,
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),Trace Esports vs TYLOO,Sunset,Trace Esports,13,11,2,,TYLOO,3,2,1,,
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),FunPlus Phoenix vs Nova Esports,Lotus,FunPlus Phoenix,13,7,6,,Nova Esports,5,0,5,,
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),FunPlus Phoenix vs Nova Esports,Sunset,FunPlus Phoenix,13,7,6,,Nova Esports,10,5,5,,
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),JD Gaming vs Titan Esports Club,Lotus,JD Gaming,8,6,2,,Titan Esports Club,13,7,6,,
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),JD Gaming vs Titan Esports Club,Bind,JD Gaming,14,8,4,2,Titan Esports Club,16,8,4,4,
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),Dragon Ranger Gaming vs All Gamers,Sunset,Dragon Ranger Gaming,13,5,8,,All Gamers,11,4,7,,
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),Dragon Ranger Gaming vs All Gamers,Ascent,Dragon Ranger Gaming,13,9,4,,All Gamers,4,1,3,,
Champions Tour 2024: China Kickoff,Group Stage,Opening (C),Bilibili Gaming vs Wolves Esports,Ascent,Bilibili Gaming,9,3,6,,Wolves Esports,13,4,9,,
Champions Tour 2024: China Kickoff,Group Stage,Opening (C),Bilibili Gaming vs Wolves Esports,Icebox,Bilibili Gaming,7,5,2,,Wolves Esports,13,6,7,,
Champions Tour 2024: China Kickoff,Group Stage,Elimination (A),TYLOO vs Nova Esports,Ascent,TYLOO,11,5,6,,Nova Esports,13,6,7,,
Champions Tour 2024: China Kickoff,Group Stage,Elimination (A),TYLOO vs Nova Esports,Split,TYLOO,11,5,6,,Nova Esports,13,6,7,,
Champions Tour 2024: China Kickoff,Group Stage,Elimination (B),JD Gaming vs All Gamers,Icebox,JD Gaming,13,7,6,,All Gamers,11,6,5,,
Champions Tour 2024: China Kickoff,Group Stage,Elimination (B),JD Gaming vs All Gamers,Sunset,JD Gaming,13,6,7,,All Gamers,8,2,6,,
Champions Tour 2024: China Kickoff,Group Stage,Winner's (A),Trace Esports vs FunPlus Phoenix,Sunset,Trace Esports,11,7,4,,FunPlus Phoenix,13,8,5,,
Champions Tour 2024: China Kickoff,Group Stage,Winner's (A),Trace Esports vs FunPlus Phoenix,Bind,Trace Esports,13,8,5,,FunPlus Phoenix,11,7,4,,
Champions Tour 2024: China Kickoff,Group Stage,Winner's (A),Trace Esports vs FunPlus Phoenix,Lotus,Trace Esports,10,5,5,,FunPlus Phoenix,13,6,7,,
Champions Tour 2024: China Kickoff,Group Stage,Winner's (B),Titan Esports Club vs Dragon Ranger Gaming,Icebox,Titan Esports Club,11,10,1,,Dragon Ranger Gaming,13,11,2,,
Champions Tour 2024: China Kickoff,Group Stage,Winner's (B),Titan Esports Club vs Dragon Ranger Gaming,Split,Titan Esports Club,13,6,7,,Dragon Ranger Gaming,8,2,6,,
Champions Tour 2024: China Kickoff,Group Stage,Winner's (B),Titan Esports Club vs Dragon Ranger Gaming,Bind,Titan Esports Club,10,6,4,,Dragon Ranger Gaming,13,7,6,,
Champions Tour 2024: China Kickoff,Group Stage,Winner's (C),Wolves Esports vs EDward Gaming,Bind,Wolves Esports,10,5,5,,EDward Gaming,13,6,7,,
Champions Tour 2024: China Kickoff,Group Stage,Winner's (C),Wolves Esports vs EDward Gaming,Ascent,Wolves Esports,13,6,7,,EDward Gaming,10,4,6,,
Champions Tour 2024: China Kickoff,Group Stage,Winner's (C),Wolves Esports vs EDward Gaming,Breeze,Wolves Esports,11,7,4,,EDward Gaming,13,8,5,,
Champions Tour 2024: China Kickoff,Group Stage,Decider (A),Trace Esports vs Nova Esports,Split,Trace Esports,13,7,6,,Nova Esports,5,0,5,,
Champions Tour 2024: China Kickoff,Group Stage,Decider (A),Trace Esports vs Nova Esports,Lotus,Trace Esports,13,8,5,,Nova Esports,4,0,4,,
Champions Tour 2024: China Kickoff,Group Stage,Decider (B),Titan Esports Club vs JD Gaming,Bind,Titan Esports Club,5,4,1,,JD Gaming,13,5,8,,
Champions Tour 2024: China Kickoff,Group Stage,Decider (B),Titan Esports Club vs JD Gaming,Icebox,Titan Esports Club,14,7,5,2,JD Gaming,12,7,5,0,
Champions Tour 2024: China Kickoff,Group Stage,Decider (B),Titan Esports Club vs JD Gaming,Lotus,Titan Esports Club,13,6,7,,JD Gaming,10,4,6,,
Champions Tour 2024: China Kickoff,Group Stage,Decider (C),Wolves Esports vs Bilibili Gaming,Sunset,Wolves Esports,9,7,2,,Bilibili Gaming,13,8,5,,
Champions Tour 2024: China Kickoff,Group Stage,Decider (C),Wolves Esports vs Bilibili Gaming,Icebox,Wolves Esports,10,3,7,,Bilibili Gaming,13,4,9,,
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Trace Esports vs Titan Esports Club,Breeze,Trace Esports,16,7,5,4,Titan Esports Club,18,7,5,6,
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Trace Esports vs Titan Esports Club,Lotus,Trace Esports,13,10,3,,Titan Esports Club,6,4,2,,
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Trace Esports vs Titan Esports Club,Split,Trace Esports,13,9,4,,Titan Esports Club,8,5,3,,
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Bilibili Gaming vs Titan Esports Club,Lotus,Bilibili Gaming,13,9,4,,Titan Esports Club,3,0,3,,
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Bilibili Gaming vs Titan Esports Club,Ascent,Bilibili Gaming,13,7,6,,Titan Esports Club,8,3,5,,
